"IDs","Arabinose","Galactose","Glucose","Xylose","Mannose","insoluble.lignin","soluble.lignin","holocellulose","alpha.cellulose","hemicellulose","Syringyl.lignin.monomers....","Fiber.length.Lw..length.weighted.","MFA..first.growth.ring.from.bark.","MFA..first.growth.ring.from.pith.","X.crystallinity..w_c.","average.wood.density","total.lignin"
"QLKE-16-4",0.618428784,0.81221579,46.31829376,16.95543913,2.736565222,18.15772034,2.548858365,68.18486269,42.5063701,25.67849259,70.01,0.857,18.68,19.04,43.86,353.39,20.70657871
"SHEL-15-1",0.474949527,0.354019139,52.3471065,17.38316774,2.800196974,17.85252264,2.853698695,72.1947777,44.07272448,28.12205322,71.45,0.94,17.37,20.36,55.25,361.69,20.70622133
"SHEL-15-2",0.570531709,0.392749356,48.23619513,19.64663352,3.537520594,17.41977734,2.658480681,71.04353836,40.37888982,30.66464853,72.46,0.785,19.16,18.32,45.66,412,20.07825802
"SHEL-15-3",0.540900419,0.473612477,52.37914835,16.14503499,3.34487823,17.28472659,2.809079481,66.24737945,39.42957879,26.81780067,70.53,0.978,17.37,19.52,52.36,420.87,20.09380607
"SHEL-15-4",0.628817434,0.453832166,56.3471854,16.95392485,3.349736672,15.60730019,3.171548716,70.18950437,43.87038095,26.31912342,74.68,0.99,18.92,20.12,59.52,413.13,18.7788489
"SHEL-15-5",0.412327261,0.302308721,49.99678351,19.83972778,2.442976466,18.32335329,2.498448557,70.22792023,41.58326276,28.64465747,69.8,0.754,21.2,20.24,53.76,411.94,20.82180185
"SHEL-15-6",0.505582899,0.302999015,51.45652198,18.8426736,3.904264575,18.0715198,2.854638337,68.35883171,41.76504614,26.59378557,71.04,0.884,19.76,20.84,46.73,371.73,20.92615813
"SKNN-10-2",0.646067755,0.586240332,51.88545376,18.53661404,3.371086916,19.21052632,2.914892344,69.66220523,40.5265393,29.13566593,68.62,0.837,20.24,20.12,44.44,408.27,22.12541866
"SKNP-10-8",0.510706914,0.336734487,49.23097649,18.39167407,3.300329583,22.40143369,2.608640165,67.80275562,38.84155485,28.96120077,65.91,0.877,18.2,19.88,48.08,356.73,25.01007386
"SKWA-24-2",0.519342685,0.196506666,47.840988,19.21406993,3.605326683,17.64327109,3.057601124,70.09735744,40.76435089,29.33300655,71.7,0.901,18.08,18.32,48.78,418.06,20.70087221
"SKWA-24-3",0.607391297,0.399900284,47.58066345,19.73166987,3.436919119,19.39355654,3.214954344,70.0238379,39.99910996,30.02472794,72.26,0.901,17.96,19.04,51.02,394.53,22.60851088
"SKWA-24-4",0.535795737,0.398383285,47.12109795,20.25817164,3.181105182,18.89230769,3.058517483,71.84986595,40.01050044,31.83936551,72.23,0.796,18.8,18.2,52.36,424.14,21.95082517
